0,1,2,3
5839,164,2661,345
4753,9,5042,151
4646,32,3479,91
6880,20,1449,345
1613,63,4542,232
6234,137,4753,189
4953,204,3458,34
5945,20,4793,172
4822,115,1500,104
5122,93,4515,54
5839,37,1487,354
5740,93,6387,222
6578,200,3578,339
4298,137,835,13
6695,9,5702,259
5716,37,2395,141
5515,93,5042,292
5723,137,3108,276
615,93,5506,293
6104,182,113,269
6578,37,4798,169
1382,164,5945,349
5677,93,4753,15
3890,200,5945,124
1017,93,1702,176
4263,225,4542,9
1884,32,6767,287
5723,38,2311,359
2317,190,448,264
6168,137,6205,52
4946,93,5042,337
4584,95,3281,249
2696,93,4753,32
5839,83,2661,258
3230,93,4131,50
5897,32,6725,81
2566,83,835,280
4360,82,1115,119
1862,158,4735,200
3164,9,6260,316
5602,137,6832,310
6733,93,213,2
2386,93,3156,180
4019,93,6638,187
4171,118,995,143
397,164,5147,198
4298,37,6268,91
4753,158,3238,125
1989,32,2205,348
6813,190,2559,149
2853,32,4946,195
289,93,4515,169
1552,32,3642,13
1952,93,4992,55
6432,32,4646,324
3920,83,4951,304
1155,93,2158,334
3539,115,4298,149
6765,20,5945,221
980,190,4753,343
5156,80,5897,100
6325,166,3116,220
6260,32,1617,310
1862,158,2875,21
5937,93,4409,207
1461,158,1531,95
5742,93,2278,18
4775,42,3118,19
3506,38,2463,223
4646,32,3164,170
617,164,1808,220
6260,20,4314,278
750,93,4409,182
2331,105,6211,316
2271,93,5042,224
1449,93,4016,115
4418,32,6686,64
6441,115,4030,242
5602,105,5042,287
2134,93,2851,57
6227,9,4146,82
4753,137,2696,114
5945,164,4409,346
6573,93,1280,139
3976,93,1590,34
780,140,5953,275
2474,37,1171,258
5186,93,8,292
2311,158,6831,255
5945,20,4409,161
6789,9,638,185
220,106,2463,330
5298,5,2696,21
6825,177,6100,50
4295,137,4085,250
2728,93,1537,342
3340,93,2774,286
2864,93,5042,239
6225,164,3814,53
4753,85,2696,225
5202,93,4753,286
6260,20,4484,136
2466,190,4895,29
884,33,3910,95
4529,105,2463,29
4878,42,1321,107
5828,32,3752,187
6260,26,3164,127
4865,9,4753,356
5287,190,3005,303
1909,164,5303,5
5042,3,5602,161
1346,32,5284,187
6260,93,5042,12
2077,180,5687,83
5042,158,2080,175
1020,32,4129,91
6228,105,6695,66
6388,20,3458,267
1884,32,617,324
759,93,2661,175
1139,71,4223,261
2317,93,2311,271
5542,20,1084,358
1020,93,6750,78
3164,3,3458,205
404,93,751,90
3506,3,2463,36
3982,9,2575,199
5945,21,4409,261
6310,137,5072,24
2077,93,3114,141
5719,13,5945,161
6260,190,3445,206
6311,204,6531,50
4722,190,5042,110
6855,137,2391,73
5162,93,4753,285
2588,184,3179,313
113,115,2706,130
4243,190,2696,152
6508,93,5698,198
2877,32,835,226
4152,190,2357,343
4298,204,3084,283
2317,21,1379,292
1265,93,3992,363
2911,93,6710,163
4646,190,6964,34
2443,164,2774,243
2475,45,4753,2
4722,9,5602,101
2911,93,1509,87
3039,32,4138,76
4298,32,4753,329
2642,200,5723,320
3294,93,3500,130
6695,32,227,278
6432,93,1334,7
4152,13,4646,334
6121,93,2882,264
6538,115,6553,293
1115,190,2661,185
5866,137,520,288
6578,37,3578,13
3601,204,4161,189
3977,83,6241,24
4589,32,3039,231
3743,137,2317,236
4409,75,5945,347
6260,190,2222,297
2774,180,857,196
6705,190,4753,43
5699,32,6005,323
6882,3,1610,118
6432,190,5839,267
5382,93,6310,15
1876,32,2351,259
6767,137,5527,29
91,96,2776,231
2696,158,6260,191
5298,63,4581,45
2853,32,1712,86
2466,190,4885,339
5165,164,1551,40
2204,93,4333,119
3845,3,4409,294
6837,177,1020,123
5945,20,4409,130
3479,32,4646,91
5945,189,4409,217
3002,154,1279,51
4577,170,2311,201
4314,26,3445,357
3506,37,2463,24
3890,64,5945,21
696,32,4586,231
4409,93,1564,326
2055,105,3965,93
5945,20,4793,135
5042,32,5602,335
5839,20,2661,177
3292,42,5042,284
4790,93,4474,319
3164,32,74,74
2977,63,5945,148
4129,153,6837,307
910,93,4131,164
6578,3,3578,79
3642,32,4584,364
1353,3,5945,176
6260,9,6315,118
603,80,5897,293
6076,32,290,301
2124,20,5688,286
219,3,6731,331
1115,3,5839,231
2220,115,2927,132
995,20,5428,258
5945,156,3845,19
4314,32,4753,210
219,93,4753,215
5839,20,2661,315
5981,37,3028,98
6903,55,3578,316
6583,204,4753,41
7100,93,164,220
6432,106,4753,100
2546,93,3156,38
925,93,6880,157
4298,133,4753,198
4753,45,4933,115
1846,227,5356,253
4052,93,6500,275
5751,93,3443,330
2774,225,5703,298
4990,32,751,230
3462,174,4221,307
5664,32,6631,113
1590,121,2463,146
2016,38,6124,261
6260,32,3164,121
6228,190,6205,252
1502,9,4542,121
6686,93,3644,118
2350,115,5107,300
1020,93,4129,66
4865,32,995,221
1346,204,6905,215
6578,106,3578,0
3642,93,4753,282
1321,63,3049,299
5648,92,2463,352
2176,93,3635,275
5825,93,203,118
5866,111,2774,56
805,93,5042,304
1507,200,3252,72
1846,93,1962,332
366,215,3795,318
2178,93,4409,20
3230,37,2688,140
5945,20,4409,169
2712,18,2467,43
898,26,4441,364
4632,37,6017,265
155,106,2067,296
2661,158,1115,296
3538,93,1884,268
1321,37,3049,87
2463,20,1590,64
1514,115,2911,211
1755,9,4140,246
6432,9,3415,67
5042,137,2696,69
6776,20,1723,304
3578,18,6578,286
729,20,4107,102
1401,32,5986,262
1487,120,5839,205
4953,51,4865,51
5602,204,2661,48
3634,164,4542,153
3506,225,2463,271
2821,93,5943,45
3982,158,835,252
6964,26,2559,248
5107,9,489,242
6150,32,6432,319
6260,93,4314,291
4953,38,6432,317
5613,9,2550,24
2706,200,113,147
6578,20,3578,15
4646,93,783,321
3281,93,5866,87
3164,9,6168,83
5845,105,5042,264
5248,132,4471,323
3976,93,1590,79
6260,137,5602,326
884,9,6837,356
226,200,4030,232
5042,133,3116,347
5953,180,1712,7
4646,32,5988,292
4752,26,2696,273
767,37,4030,271
6168,32,6260,332
4584,137,4895,254
5017,158,383,292
4417,20,3708,209
5062,93,5537,277
220,93,660,2
2610,32,751,102
6260,32,3164,71
5664,190,4865,321
5047,133,2016,354
6228,32,3744,29
4953,2,4989,133
1822,32,3814,122
4152,32,3777,67
1933,9,4865,39
3098,133,4885,123
4298,158,835,23
3141,37,3002,254
1669,93,7090,291
3164,32,2820,247
4542,21,4992,12
6303,35,1152,160
2104,194,5042,333
5996,26,5510,81
3002,115,2696,30
903,38,638,343
6432,32,5866,68
4094,126,5602,7
6305,32,6186,25
3124,181,1487,169
5792,164,7041,248
3642,32,2119,360
5428,20,995,96
5795,32,2484,138
5042,164,1115,31
1838,164,5406,149
3296,93,3483,362
418,9,4059,92
6578,3,3578,315
1617,204,3642,19
530,158,4028,274
2601,176,3865,57
4742,115,270,244
5042,83,751,334
3531,18,1655,86
3642,93,4753,254
4004,93,4753,48
3795,120,366,268
4753,83,2696,39
2419,20,5945,60
6432,9,638,135
5042,32,5602,12
3124,3,1487,3
3840,9,4489,251
1283,93,4851,82
2408,93,3795,11
4865,137,2911,310
3984,115,226,258
3462,215,2016,342
943,93,1484,223
4542,177,4992,136
3890,200,5945,102
6645,20,3002,124
4584,83,5866,312
273,32,6250,338
3596,93,977,161
3752,133,5996,154
4753,105,4298,223
1763,93,5042,351
4646,32,6432,122
5042,227,2016,19
5602,190,2661,207
835,3,2566,223
1629,20,643,283
4646,32,4391,167
5792,144,6432,276
2357,160,1909,252
4341,177,3828,238
164,37,6687,35
693,190,403,303
5042,9,5839,200
5698,93,5716,215
129,32,4992,295
6578,200,3578,284
4409,93,1600,161
241,3,4139,5
1321,37,3049,179
2220,115,4298,112
3164,2,6260,107
995,105,4770,183
5619,20,1131,186
165,137,4409,84
5945,13,5524,317
2661,204,5602,154
1952,20,4542,279
1655,37,4490,39
1846,9,6027,310
4946,20,4542,32
552,93,2696,342
5107,115,5258,355
3795,37,346,254
4277,160,3965,304
891,9,5229,264
6090,93,3229,301
1658,204,6593,43
3814,105,3957,200
6982,20,4742,136
751,158,1062,98
3814,9,2181,241
2181,133,4515,164
6776,92,6609,276
852,227,4753,52
4646,32,6432,331
5042,13,4844,180
6211,190,995,163
4525,32,5866,257
5386,137,6262,291
3407,149,1566,109
2642,129,5723,313
2661,132,4944,221
1020,32,4129,317
6260,93,2608,180
6617,3,6573,362
1346,93,1862,315
759,32,5866,39
4742,150,3462,78
6260,190,5839,101
5839,38,5042,124
3899,71,6540,206
3976,22,2463,12
4152,93,214,158
268,93,334,360
3910,71,4129,339
3982,32,891,146
6837,32,1226,196
6432,49,5047,102
6556,93,3992,118
6432,38,4953,82
4865,83,4753,178
270,194,2016,322
6801,158,2893,51
3814,83,1923,35
2601,32,4170,237
2220,203,4298,319
153,32,751,290
7043,93,6181,302
2110,190,4298,319
3752,32,2547,328
2992,32,2915,301
3379,137,4443,124
3187,3,6243,2
3642,32,1617,27
5042,32,2357,49
6432,190,2357,276
2696,37,5298,49
750,93,1884,107
3506,132,4167,215
4583,32,1432,196
5970,164,4542,347
3179,137,502,178
4567,32,3814,203
4865,83,5042,139
3116,158,3715,185
2566,190,835,361
2792,83,222,209
5945,21,4409,44
7126,20,4696,287
3642,32,1617,264
6695,105,6260,307
4355,225,1023,337
3164,93,1173,264
5602,190,5042,271
5510,32,5996,19
3976,196,6996,156
5957,149,4463,344
337,20,1702,248
4753,137,3281,307
5636,93,2016,144
2661,18,5839,152
750,155,5945,149
5613,32,2955,152
5796,164,2550,264
2774,200,6857,176
835,32,3887,185
3141,164,3002,89
4813,93,2222,44
153,93,2311,73
4566,93,3098,298
4765,20,4371,306
6432,2,638,97
5370,190,3098,281
4584,190,3116,4
3716,200,6555,23
750,93,4409,61
2463,3,1590,209
3164,32,6260,234
404,32,751,115
2117,3,4992,93
4953,93,5939,127
3506,71,2463,281
4646,204,5980,352
3912,111,4865,328
4865,164,4989,59
4584,32,3164,74
6406,115,2906,153
3156,20,4409,12
2033,32,3727,280
2520,93,3483,243
4953,106,1629,69
3580,3,6986,236
2311,32,5827,242
3890,200,1066,239
5042,85,3675,254
2661,216,5839,276
2350,18,4542,362
4532,93,1590,84
6104,20,3895,119
5699,93,2696,72
6250,9,2441,325
3500,20,5945,31
5298,129,2696,298
5428,158,3814,285
2661,71,5602,109
3601,21,5602,127
1058,93,6246,64
6964,158,4646,293
2043,20,5511,56
3623,164,4723,75
4515,158,6631,24
3642,93,4584,364
4753,88,2696,161
3117,137,1346,260
3362,77,2338,69
2911,200,4933,292
4409,3,3500,320
4409,37,5585,152
6905,32,1346,32
5042,105,2357,96
4584,32,5428,186
977,32,4802,10
3994,190,638,49
4004,32,5246,145
4130,93,270,126
3099,177,6541,333
1533,32,5746,324
6002,93,270,267
4646,137,6432,310
6578,37,4542,292
2915,93,2357,80
4584,190,4298,168
4753,190,1468,225
4885,158,4646,167
1904,93,3890,251
6416,32,2765,71
2087,71,4277,167
1533,32,5428,39
5042,105,3965,93
6106,93,1640,347
1461,32,218,194
5839,38,5602,159
2812,2,3095,333
2593,132,3623,45
751,190,4865,63
2778,137,2380,272
978,160,3221,54
2311,37,1850,251
4742,164,5235,166
740,93,4298,218
5042,158,751,219
5042,227,4753,163
6071,189,6801,16
4793,64,5945,254
1264,32,551,5
663,64,4671,161
835,9,2566,152
1020,177,6837,103
980,9,3642,156
5713,157,3814,296
6388,93,2588,80
2812,204,4342,19
5042,158,2131,253
2466,93,4895,317
3445,32,6260,166
4989,137,5602,318
5839,38,5042,194
2602,93,3965,343
1321,160,20,297
2466,204,1923,173
4831,20,4542,48
2601,42,5048,250
6802,190,3675,143
4825,93,513,364
4577,18,617,272
3458,32,4953,47
2567,159,1423,47
1884,32,3760,293
5602,83,5042,56
2392,137,5945,77
4314,137,4753,57
2393,20,4542,228
5269,93,1590,354
3179,93,2575,232
2566,93,4298,316
4742,164,270,43
6183,93,496,37
4567,32,3994,38
5890,32,2222,309
3164,32,5202,357
1617,190,5839,5
6767,93,3795,343
1392,9,344,34
2054,93,4251,151
1718,37,4542,318
4865,37,5338,7
5095,93,5406,237
4753,158,552,215
2337,60,2332,71
3752,227,5042,19
648,137,1662,16
1617,32,6388,2
4753,32,5510,20
3124,3,1487,28
1617,26,6260,56
6418,61,3476,61
2575,42,6423,282
4562,200,320,45
6260,9,3164,357
2419,106,4409,140
6186,137,1240,309
5389,3,4951,79
6479,20,4542,308
6205,126,1236,347
81,32,2173,197
4742,115,2016,223
6579,3,3573,181
4313,63,5945,46
6598,32,531,251
6085,93,1277,5
1986,158,6260,268
4646,93,5042,314
3487,20,2942,338
4260,115,4542,232
2550,9,756,357
2915,37,6133,174
5042,164,3098,268
3908,61,5743,248
4139,9,4277,347
2281,137,2661,259
6728,18,1008,306
3814,20,5047,147
1924,115,5957,305
478,18,4742,213
4735,20,5796,45
638,37,3992,224
2566,32,6260,123
2977,63,5945,214
3164,190,2963,156
5699,32,3164,47
4360,37,4542,150
1120,83,4409,323
